spicy,fresh,sweet,salty,dry,warm,gassed,acid,bitter,others,alcohol,fruit,juice,syrup
pimienta, jarabe de maracuyá, jugo de cereza, sal, noilly_prat, whisky, vino blanco seco, jugo de limón, cointreau, huevo, vodka, pomelo, jugo multivitamínico, jarabe de maracuyá
salsa tabasco,lima,ron blanco,pepinos,vodka,curacao azul,crémant,lima,curacao azul,cubito de hielo,vino blanco,manzana,jugo de lima,jarabe de menta
wasabi, limonada, almíbar, salsa tabasco, martini, salsa tabasco, champán, limonada, crémant, crema para batir ligera, vino rubor, grosella, jugo de limón, sirope de sangría
,zumo de lima,frambuesa,sal de apio,ginebra,wasabi,prosecco,cointreau,amargo de angostura,limoncillo,licor de manzana,fruta,zumo de melocotón,almíbar de frutas
,jugo de piña,kirsch,jugo de tomate,prosecco,ron oscuro,vino espumoso,cítricos,cava,crema de café,licor de albaricoque,coco,zumo de manzana,jarabe de melocotón
,naranja,coco,pistacho,schweppes,licor de manzana,vino rubor,refresco,crema de café,hielo picado,cerveza,cereza,jugo de plátano,jarabe de azúcar de caña
,fresa,cointreau,,tequila,anís y albahaca,refresco,zumo de lima,prosecco,leche entera,cava,fresa,zumo de cereza,sirope de fresa
,campari,jugo de manzana,martini rojo,brandy de ciruela,crémant,jugo,licor de café,rodaja de limón,cava,naranja clementina,jugo de litchi,almíbar de naranja
,jugo de maracuyá,granadina,,vino blanco seco,ron ámbar,cava,naranja,campari,helado,champán,plátano,jugo de manzana,almíbar
,limón,azúcar,triple seco,ron,agua mineral con gas,zumo de naranja,café,salsa inglesa,licor de café,limón,zumo de piña,
, cítricos, coñac, martini blanco, jengibre, agua con gas, kiwi, naranja sanguina, ralladura de lima, vino blanco seco, frambuesa, jugo de albaricoque,
,fruta,ron malibu,benedictino,licor de litchi,agua con gas,crema agria,cerveza,leche de arroz,ginebra,naranja,jugo de fresa,
,jugo de naranja,azúcar de caña,cachaza,mangalore,repollo fuerte,limón,jengibre,vino de arroz,licor de limón,piña,jugo,
,jugo de limón,jarabe de maracuyá,,,pastis,cerveza,fruta,whisky,,licor,baya,jugo de naranja,
,pisang ambon,zumo de albaricoque,tequila,schweppes,zumo de tomate,fruta,noilly prat,pera,zumo de maracuyá,
,helado,fresa,,,vermut,coca-cola,ralladura de limón,triple sec,,vino de arroz,melón,jugo de manguo,
,jugo multivitamínico,jugo de arándano,,,coñac,,jugo de tamarino, kumquat,,vino espumoso,cítricos,jugo de bayas,
,jugo de manzana,jugo de piña,,,licor de limón,,rodaja de limón,vermú,,whisky,,zumo de arándano,
,menta,creme de cassis,,,pimienta,,,jugo,,,,zumo de pomelo,
,rodaja de limón,oporto,,,licor de albaricoque,,,repollo fuerte,,,,jugo de tomate,
,jarabe de menta,canela,,,grand marnier,,,,,,,jugo de uva,
,calvados,nuez moscada,,,licor,,,,,,,,
,jugo,jarabe de azucar de caña,,,licor de cafe,,,,,,,,
,naranja clementina,albaricoque,,,licor de pera,,,,,,,,
,jugo de durazno,jugo de albaricoque,,,get_27,,,,,,,,
,get_27,jugo de plátano,,,,,,,,,,,
,agua,jugo de manguo,,,,,,,,,,,
,cilantro,jugo de maracuyá,,,,,,,,,,,
,,sidra dura,,,,,,,,,,,
,,leche de coco,,,,,,,,,,,
,,sidra de manzana,,,,,,,,,,,
,,jugo de uva,,,,,,,,,,,
,,azúcar morena,,,,,,,,,,,
,,licor de albaricoque,,,,,,,,,,,
,,jugo de pera,,,,,,,,,,,
,,jarabe de grosella,,,,,,,,,,,
,,licor de manzana,,,,,,,,,,,
,,pisang ambon,,,,,,,,,,,
,,licor de limón,,,,,,,,,,,
,,refresco,,,,,,,,,,,
,,azúcar en polvo,,,,,,,,,,,
,,azúcar de vainilla,,,,,,,,,,,
,,banana,,,,,,,,,,,
,,brandy de ciruelas,,,,,,,,,,,
,,jarabe de sangría,,,,,,,,,,,
,,fruta,,,,,,,,,,,
,,lychee,,,,,,,,,,,
,,jugo de litchi,,,,,,,,,,,
,,jugo de bayas,,,,,,,,,,,
,,licor de litchi,,,,,,,,,,,
,,jarabe de menta,,,,,,,,,,,
,,jarabe de limón,,,,,,,,,,,
,,jarabe de naranja,,,,,,,,,,,
,grand marnier,,,,,,,,,,,
,,grosella negra,,,,,,,,,,,
,,azúcar granulada,,,,,,,,,,,
,,melón,,,,,,,,,,,
,,jugo,,,,,,,,,,,
,,comer,,,,,,,,,,,
,,jugo de fresa,,,,,,,,,,,
,,jarabe de frutas,,,,,,,,,,,
,,licor,,,,,,,,,,,
,,pera,,,,,,,,,,,
,,cereza,,,,,,,,,,,
,,zumo de guayaba,,,,,,,,,,,
,,naranja clementina,,,,,,,,,,,
,,baya,,,,,,,,,,,
,,licor de pera,,,,,,,,,,,
,,jugo de durazno,,,,,,,,,,,
,,vino rubor,,,,,,,,,,,
,,Coca Cola,,,,,,,,,,,
,,azúcar morena,,,,,,,,,,,
,,almíbar de melocotón,,,,,,,,,,,
,,jarabe de fresa,,,,,,,,,,,
,,jugo de uva,,,,,,,,,,,
,,azúcar morena,,,,,,,,,,,
